month,state,district,demo_age_5_17,demo_age_17_,total_demo_updates
2025-03,Andaman and Nicobar Islands,Nicobar,16.0,180.0,196.0
2025-03,Andaman and Nicobar Islands,North And Middle Andaman,20.0,402.0,422.0
2025-03,Andaman and Nicobar Islands,South Andaman,48.0,279.0,327.0
2025-03,Andhra Pradesh,Adilabad,261.0,2034.0,2295.0
2025-03,Andhra Pradesh,Alluri Sitharama Raju,334.0,2743.0,3077.0
2025-03,Andhra Pradesh,Anakapalli,286.0,2090.0,2376.0
2025-03,Andhra Pradesh,Anantapur,658.0,13372.0,14030.0
2025-03,Andhra Pradesh,Ananthapur,1614.0,5330.0,6944.0
2025-03,Andhra Pradesh,Ananthapuramu,2155.0,6513.0,8668.0
2025-03,Andhra Pradesh,Annamayya,242.0,1421.0,1663.0
2025-03,Andhra Pradesh,Bapatla,183.0,1309.0,1492.0
2025-03,Andhra Pradesh,Chittoor,3179.0,30819.0,33998.0
2025-03,Andhra Pradesh,Cuddapah,1424.0,14059.0,15483.0
2025-03,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,214.0,1789.0,2003.0
2025-03,Andhra Pradesh,East Godavari,2293.0,25483.0,27776.0
2025-03,Andhra Pradesh,Eluru,224.0,1892.0,2116.0
2025-03,Andhra Pradesh,Guntur,2224.0,28447.0,30671.0
2025-03,Andhra Pradesh,Hyderabad,545.0,4672.0,5217.0
2025-03,Andhra Pradesh,Kakinada,456.0,3210.0,3666.0
2025-03,Andhra Pradesh,Karimnagar,73.0,661.0,734.0
2025-03,Andhra Pradesh,Khammam,297.0,3186.0,3483.0
2025-03,Andhra Pradesh,Krishna,1231.0,15250.0,16481.0
2025-03,Andhra Pradesh,Kurnool,3018.0,26425.0,29443.0
2025-03,Andhra Pradesh,Mahabub Nagar,26.0,184.0,210.0
2025-03,Andhra Pradesh,Mahbubnagar,169.0,1133.0,1302.0
2025-03,Andhra Pradesh,Medak,191.0,1181.0,1372.0
2025-03,Andhra Pradesh,N. T. R,507.0,4481.0,4988.0
2025-03,Andhra Pradesh,Nalgonda,119.0,1738.0,1857.0
2025-03,Andhra Pradesh,Nandyal,222.0,1355.0,1577.0
2025-03,Andhra Pradesh,Nellore,743.0,12964.0,13707.0
2025-03,Andhra Pradesh,Nizamabad,53.0,476.0,529.0
2025-03,Andhra Pradesh,Palnadu,290.0,2479.0,2769.0
2025-03,Andhra Pradesh,Parvathipuram Manyam,170.0,1421.0,1591.0
2025-03,Andhra Pradesh,Prakasam,1292.0,17038.0,18330.0
2025-03,Andhra Pradesh,Rangareddi,378.0,2554.0,2932.0
2025-03,Andhra Pradesh,Sri Potti Sriramulu Nellore,356.0,2657.0,3013.0
2025-03,Andhra Pradesh,Sri Sathya Sai,262.0,1154.0,1416.0
2025-03,Andhra Pradesh,Srikakulam,4129.0,28701.0,32830.0
2025-03,Andhra Pradesh,Tirupati,395.0,3374.0,3769.0
2025-03,Andhra Pradesh,Visakhapatnam,2571.0,29678.0,32249.0
2025-03,Andhra Pradesh,Vizianagaram,1397.0,13315.0,14712.0
2025-03,Andhra Pradesh,Warangal,573.0,5032.0,5605.0
2025-03,Andhra Pradesh,West Godavari,1547.0,19323.0,20870.0
2025-03,Andhra Pradesh,Y. S. R,223.0,1548.0,1771.0
2025-03,Arunachal Pradesh,Anjaw,24.0,210.0,234.0
2025-03,Arunachal Pradesh,Changlang,37.0,707.0,744.0
2025-03,Arunachal Pradesh,East Siang,19.0,151.0,170.0
2025-03,Arunachal Pradesh,Kra Daadi,26.0,105.0,131.0
2025-03,Arunachal Pradesh,Lohit,30.0,234.0,264.0
2025-03,Arunachal Pradesh,Lower Siang,11.0,33.0,44.0
2025-03,Arunachal Pradesh,Lower Subansiri,41.0,280.0,321.0
2025-03,Arunachal Pradesh,Namsai,50.0,553.0,603.0
2025-03,Arunachal Pradesh,Papum Pare,94.0,888.0,982.0
2025-03,Arunachal Pradesh,Tawang,27.0,117.0,144.0
2025-03,Arunachal Pradesh,Tirap,18.0,235.0,253.0
2025-03,Arunachal Pradesh,Upper Siang,12.0,40.0,52.0
2025-03,Arunachal Pradesh,Upper Subansiri,106.0,570.0,676.0
2025-03,Arunachal Pradesh,West Kameng,25.0,116.0,141.0
2025-03,Arunachal Pradesh,West Siang,88.0,883.0,971.0
2025-03,Assam,Baksa,331.0,3773.0,4104.0
2025-03,Assam,Barpeta,489.0,5347.0,5836.0
2025-03,Assam,Biswanath,157.0,1877.0,2034.0
2025-03,Assam,Bongaigaon,688.0,8549.0,9237.0
2025-03,Assam,Cachar,920.0,7936.0,8856.0
2025-03,Assam,Charaideo,145.0,1953.0,2098.0
2025-03,Assam,Chirang,67.0,775.0,842.0
2025-03,Assam,Darrang,347.0,3222.0,3569.0
2025-03,Assam,Dhemaji,460.0,5137.0,5597.0
2025-03,Assam,Dhubri,807.0,7264.0,8071.0
2025-03,Assam,Dibrugarh,206.0,3396.0,3602.0
2025-03,Assam,Goalpara,625.0,5478.0,6103.0
2025-03,Assam,Golaghat,427.0,6547.0,6974.0
2025-03,Assam,Hailakandi,141.0,1187.0,1328.0
2025-03,Assam,Hojai,240.0,2750.0,2990.0
2025-03,Assam,Jorhat,217.0,3473.0,3690.0
2025-03,Assam,Kamrup,244.0,3830.0,4074.0
2025-03,Assam,Kamrup Metro,381.0,3415.0,3796.0
2025-03,Assam,Karbi Anglong,475.0,4246.0,4721.0
2025-03,Assam,Karimganj,521.0,4723.0,5244.0
2025-03,Assam,Kokrajhar,412.0,2727.0,3139.0
2025-03,Assam,Lakhimpur,465.0,7597.0,8062.0
2025-03,Assam,Marigaon,792.0,6116.0,6908.0
2025-03,Assam,Nagaon,934.0,13151.0,14085.0
2025-03,Assam,Nalbari,470.0,4265.0,4735.0
2025-03,Assam,North Cachar Hills,59.0,550.0,609.0
2025-03,Assam,Sibsagar,129.0,1336.0,1465.0
2025-03,Assam,Sonitpur,649.0,8056.0,8705.0
2025-03,Assam,South Salmara Mankachar,47.0,1080.0,1127.0
2025-03,Assam,Tinsukia,334.0,5489.0,5823.0
2025-03,Assam,Udalguri,276.0,3424.0,3700.0
2025-03,Assam,West Karbi Anglong,26.0,250.0,276.0
2025-03,Bihar,Araria,1840.0,21797.0,23637.0
2025-03,Bihar,Arwal,472.0,4693.0,5165.0
2025-03,Bihar,Aurangabad,2121.0,18127.0,20248.0
2025-03,Bihar,Banka,1998.0,22274.0,24272.0
2025-03,Bihar,Begusarai,2735.0,21707.0,24442.0
2025-03,Bihar,Bhagalpur,3827.0,29400.0,33227.0
2025-03,Bihar,Bhojpur,2065.0,22449.0,24514.0
2025-03,Bihar,Buxar,1096.0,12195.0,13291.0
2025-03,Bihar,Darbhanga,1728.0,19909.0,21637.0
2025-03,Bihar,East Champaran,3674.0,41175.0,44849.0
2025-03,Bihar,Gaya,5185.0,44905.0,50090.0
2025-03,Bihar,Gopalganj,1478.0,15890.0,17368.0
2025-03,Bihar,Jamui,981.0,10896.0,11877.0
2025-03,Bihar,Jehanabad,900.0,8065.0,8965.0
2025-03,Bihar,Kaimur (Bhabua),773.0,7824.0,8597.0
2025-03,Bihar,Katihar,2114.0,24879.0,26993.0
2025-03,Bihar,Khagaria,987.0,8827.0,9814.0
2025-03,Bihar,Kishanganj,1811.0,25016.0,26827.0
2025-03,Bihar,Lakhisarai,680.0,7004.0,7684.0
2025-03,Bihar,Madhepura,965.0,13600.0,14565.0
2025-03,Bihar,Madhubani,2235.0,28067.0,30302.0
2025-03,Bihar,Munger,708.0,9984.0,10692.0
2025-03,Bihar,Muzaffarpur,3131.0,30776.0,33907.0
2025-03,Bihar,Nalanda,1405.0,13358.0,14763.0
2025-03,Bihar,Nawada,1156.0,12822.0,13978.0
2025-03,Bihar,Patna,3377.0,29482.0,32859.0
2025-03,Bihar,Purnia,1589.0,20479.0,22068.0
2025-03,Bihar,Rohtas,1646.0,15770.0,17416.0
2025-03,Bihar,Saharsa,1323.0,15737.0,17060.0
2025-03,Bihar,Samastipur,3373.0,33726.0,37099.0
2025-03,Bihar,Saran,2691.0,29948.0,32639.0
2025-03,Bihar,Sheikhpura,352.0,3794.0,4146.0
2025-03,Bihar,Sheohar,487.0,4375.0,4862.0
2025-03,Bihar,Sitamarhi,2363.0,27386.0,29749.0
2025-03,Bihar,Siwan,2131.0,21489.0,23620.0
2025-03,Bihar,Supaul,1266.0,22399.0,23665.0
2025-03,Bihar,Vaishali,2332.0,24169.0,26501.0
2025-03,Bihar,West Champaran,3276.0,33739.0,37015.0
2025-03,Chandigarh,Chandigarh,813.0,5312.0,6125.0
2025-03,Chhattisgarh,Balod,592.0,7606.0,8198.0
2025-03,Chhattisgarh,Baloda Bazar,297.0,12706.0,13003.0
2025-03,Chhattisgarh,Balrampur,210.0,2762.0,2972.0
2025-03,Chhattisgarh,Bastar,576.0,7535.0,8111.0
2025-03,Chhattisgarh,Bemetara,313.0,8811.0,9124.0
2025-03,Chhattisgarh,Bijapur,280.0,2787.0,3067.0
2025-03,Chhattisgarh,Bilaspur,938.0,15931.0,16869.0
2025-03,Chhattisgarh,Dakshin Bastar Dantewada,339.0,701.0,1040.0
2025-03,Chhattisgarh,Dantewada,57.0,69.0,126.0
2025-03,Chhattisgarh,Dhamtari,369.0,9740.0,10109.0
2025-03,Chhattisgarh,Durg,1023.0,6462.0,7485.0
2025-03,Chhattisgarh,Gariyaband,94.0,3487.0,3581.0
2025-03,Chhattisgarh,Gaurela-pendra-marwahi,64.0,615.0,679.0
2025-03,Chhattisgarh,Janjgir-champa,1210.0,24618.0,25828.0
2025-03,Chhattisgarh,Jashpur,1002.0,5366.0,6368.0
2025-03,Chhattisgarh,Kabeerdham,110.0,2802.0,2912.0
2025-03,Chhattisgarh,Kanker,416.0,3558.0,3974.0
2025-03,Chhattisgarh,Kawardha,443.0,13073.0,13516.0
2025-03,Chhattisgarh,Kondagaon,45.0,457.0,502.0
2025-03,Chhattisgarh,Korba,168.0,3186.0,3354.0
2025-03,Chhattisgarh,Koriya,327.0,2227.0,2554.0
2025-03,Chhattisgarh,Mahasamund,309.0,3131.0,3440.0
2025-03,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,99.0,611.0,710.0
2025-03,Chhattisgarh,Mungeli,233.0,12880.0,13113.0
2025-03,Chhattisgarh,Narayanpur,179.0,960.0,1139.0
2025-03,Chhattisgarh,Raigarh,1550.0,15212.0,16762.0
2025-03,Chhattisgarh,Raipur,575.0,14561.0,15136.0
2025-03,Chhattisgarh,Rajnandgaon,700.0,20802.0,21502.0
2025-03,Chhattisgarh,Sakti,77.0,612.0,689.0
