month,state,district,age_0_5,age_5_17,age_18_greater,total_enrolment
2025-03,Andhra Pradesh,Spsr Nellore,43,44,29,116
2025-03,Assam,Baksa,11,14,13,38
2025-03,Assam,Barpeta,24,34,10,68
2025-03,Assam,Bongaigaon,25,33,31,89
2025-03,Assam,Chirang,12,29,15,56
2025-03,Assam,Dhemaji,20,46,19,85
2025-03,Assam,Dhubri,89,229,98,416
2025-03,Assam,Dibrugarh,10,12,14,36
2025-03,Assam,Hojai,27,42,20,89
2025-03,Assam,Kamrup,13,20,13,46
2025-03,Assam,Kokrajhar,91,169,80,340
2025-03,Assam,Lakhimpur,25,34,42,101
2025-03,Assam,Marigaon,117,184,245,546
2025-03,Assam,Nagaon,19,15,22,56
2025-03,Assam,Sonitpur,10,28,43,81
2025-03,Assam,Tinsukia,84,170,101,355
2025-03,Assam,Udalguri,10,46,34,90
2025-03,Bihar,Bhagalpur,13,40,18,71
2025-03,Bihar,Madhubani,46,235,49,330
2025-03,Bihar,Muzaffarpur,24,40,10,74
2025-03,Bihar,Pashchim Champaran,25,88,13,126
2025-03,Bihar,Patna,12,52,16,80
2025-03,Bihar,Purbi Champaran,60,241,35,336
2025-03,Bihar,Sitamarhi,336,696,303,1335
2025-03,Chhattisgarh,Bijapur,66,31,63,160
2025-03,Chhattisgarh,Raipur,49,15,36,100
2025-03,Delhi,North West Delhi,35,15,10,60
2025-03,Delhi,West Delhi,146,87,75,308
2025-03,Gujarat,Banas Kantha,408,223,175,806
2025-03,Gujarat,Dohad,32,37,41,110
2025-03,Gujarat,Kachchh,33,13,10,56
2025-03,Gujarat,Morbi,36,12,23,71
2025-03,Gujarat,Patan,141,26,23,190
2025-03,Gujarat,Vadodara,36,43,10,89
2025-03,Haryana,Faridabad,80,60,10,150
2025-03,Haryana,Gurugram,18,19,13,50
2025-03,Jharkhand,Deoghar,12,25,18,55
2025-03,Karnataka,Bengaluru Urban,309,192,231,732
2025-03,Madhya Pradesh,Bhind,54,33,22,109
2025-03,Madhya Pradesh,Gwalior,179,86,62,327
2025-03,Madhya Pradesh,Katni,53,42,11,106
2025-03,Maharashtra,Aurangabad,196,103,46,345
2025-03,Maharashtra,Parbhani,17,14,37,68
2025-03,Maharashtra,Thane,19,13,15,47
2025-03,Meghalaya,East Khasi Hills,44,92,164,300
2025-03,Meghalaya,Ri Bhoi,30,11,26,67
2025-03,Meghalaya,West Jaintia Hills,315,53,142,510
2025-03,Meghalaya,West Khasi Hills,118,113,442,673
2025-03,Punjab,Amritsar,14,15,20,49
2025-03,Punjab,Ludhiana,104,13,14,131
2025-03,Rajasthan,Sikar,41,36,17,94
2025-03,Tamil Nadu,Kanchipuram,12,12,10,34
2025-03,Uttar Pradesh,Agra,280,494,132,906
2025-03,Uttar Pradesh,Aligarh,226,353,44,623
2025-03,Uttar Pradesh,Bahraich,69,241,61,371
2025-03,Uttar Pradesh,Banda,31,24,11,66
2025-03,Uttar Pradesh,Bulandshahr,19,32,10,61
2025-03,Uttar Pradesh,Firozabad,93,77,21,191
2025-03,Uttar Pradesh,Gautam Buddha Nagar,175,636,72,883
2025-03,Uttar Pradesh,Ghaziabad,129,471,89,689
2025-03,Uttar Pradesh,Gorakhpur,13,36,11,60
2025-03,Uttar Pradesh,Jaunpur,70,213,51,334
2025-03,Uttar Pradesh,Kanpur Nagar,47,138,23,208
2025-03,Uttar Pradesh,Lucknow,23,102,17,142
2025-03,Uttar Pradesh,Maharajganj,54,181,47,282
2025-03,Uttar Pradesh,Mathura,39,40,42,121
2025-03,Uttar Pradesh,Saharanpur,91,152,10,253
2025-03,Uttar Pradesh,Unnao,34,136,33,203
2025-03,Uttarakhand,Dehradun,123,43,10,176
2025-03,Uttarakhand,Haridwar,17,15,28,60
2025-03,Uttarakhand,Nainital,46,18,11,75
2025-03,West Bengal,Coochbehar,19,12,19,50
2025-03,West Bengal,Dinajpur Uttar,26,18,27,71
2025-04,Assam,Baksa,408,483,187,1078
2025-04,Assam,Barpeta,138,54,23,215
2025-04,Assam,Biswanath,104,114,32,250
2025-04,Assam,Bongaigaon,221,87,61,369
2025-04,Assam,Cachar,988,461,299,1748
2025-04,Assam,Charaideo,91,50,164,305
2025-04,Assam,Chirang,189,199,179,567
2025-04,Assam,Darrang,654,340,270,1264
2025-04,Assam,Dhemaji,179,176,52,407
2025-04,Assam,Dhubri,998,654,80,1732
2025-04,Assam,Dibrugarh,179,149,186,514
2025-04,Assam,Goalpara,587,294,283,1164
2025-04,Assam,Golaghat,568,501,144,1213
2025-04,Assam,Hailakandi,242,143,78,463
2025-04,Assam,Hojai,763,253,100,1116
2025-04,Assam,Jorhat,210,156,154,520
2025-04,Assam,Kamrup,741,404,179,1324
2025-04,Assam,Kamrup Metro,276,396,213,885
2025-04,Assam,Karbi Anglong,543,1030,323,1896
2025-04,Assam,Karimganj,508,426,91,1025
